country,MostDangerousCountriesForWomen_WomenPeaceAndSecurityIndex_Score_2023,MostDangerousCountriesForWomen_WomensDangerIndexWDI_TotalScore_2019,MostDangerousCountriesForWomen_WDIStreetSafety_2019,MostDangerousCountriesForWomen_WDIIntentionalHomicide_2019,MostDangerousCountriesForWomen_WDINonPartnerViolence_2019,MostDangerousCountriesForWomen_WDIIntimatePartnerViolence_2019,MostDangerousCountriesForWomen_WDILegalDiscrimination_2019,MostDangerousCountriesForWomen_WDIGlobalGenderGap_2019,MostDangerousCountriesForWomen_WDIGenderInequality_2019,MostDangerousCountriesForWomen_WDIAttitudesTowardViolence_2019
India,0.595,541.25,41.0,30.0,19.0,83.0,44.0,79.0,100.0,74.0
China,0.7,444.55,23.0,6.0,70.0,86.0,44.0,78.0,29.0,80.0
United States,0.823,456.31,51.0,25.0,75.0,81.0,24.0,68.0,36.0,21.0
Indonesia,0.7,442.1,37.0,3.0,30.0,66.0,54.0,74.0,86.0,51.0
Pakistan,0.481,,,,,,,,,
Nigeria,0.465,,,,,,,,,
Brazil,0.63,624.28,96.0,49.0,44.0,82.0,30.0,76.0,78.0,25.0
Bangladesh,0.593,,,,,,,,,
Russia,0.752,592.71,69.0,77.0,40.0,47.0,50.0,73.0,49.0,41.0
Ethiopia,0.521,,,,,,,,,
Mexico,0.551,576.05,89.0,49.0,88.0,31.0,15.0,74.0,65.0,26.0
Japan,0.866,366.2,47.0,3.0,70.0,34.0,37.0,82.0,20.0,23.0
Egypt,0.645,546.91,71.0,7.0,26.0,58.0,65.0,94.0,86.0,64.0
Philippines,0.612,408.23,55.0,25.0,30.0,32.0,31.0,50.0,81.0,23.0
DR Congo,0.384,,,,,,,,,
Vietnam,0.707,449.65,63.0,5.0,11.0,76.0,37.0,72.0,58.0,59.0
Iran,0.557,553.11,69.0,11.0,26.0,59.0,85.0,100.0,88.0,34.0
Turkey,0.665,521.83,72.0,18.0,26.0,84.0,41.0,90.0,60.0,41.0
Germany,0.871,335.1,41.0,12.0,40.0,49.0,39.0,53.0,14.0,33.0
Thailand,0.764,533.22,45.0,13.0,30.0,98.0,41.0,73.0,75.0,100.0
United Kingdom,0.86,296.85,31.0,10.0,40.0,64.0,15.0,55.0,22.0,20.0
Tanzania,0.652,,,,,,,,,
France,0.864,309.92,40.0,12.0,52.0,58.0,17.0,53.0,16.0,11.0
South Africa,0.688,771.82,100.0,100.0,100.0,56.0,28.0,59.0,74.0,56.0
Italy,0.827,323.19,59.0,5.0,29.0,42.0,22.0,74.0,17.0,11.0
Kenya,0.511,,,,,,,,,
Myanmar,0.451,,,,,,,,,
Colombia,0.582,,,,,,,,,
South Korea,0.848,366.98,51.0,8.0,70.0,31.0,20.0,84.0,12.0,31.0
Sudan,0.46,,,,,,,,,
Uganda,0.544,,,,,,,,,
Spain,0.859,212.04,24.0,5.0,17.0,29.0,15.0,61.0,15.0,16.0
Algeria,0.622,,,,,,,,,
Iraq,0.424,,,,,,,,,
Argentina,0.768,494.11,92.0,19.0,34.0,73.0,26.0,64.0,68.0,7.0
Afghanistan,0.286,,,,,,,,,
Yemen,0.287,,,,,,,,,
Canada,0.885,290.83,35.0,9.0,75.0,14.0,31.0,55.0,18.0,10.0
Poland,0.859,291.23,53.0,4.0,11.0,29.0,30.0,65.0,25.0,16.0
Morocco,0.637,542.75,59.0,6.0,26.0,100.0,46.0,96.0,92.0,52.0
Angola,0.598,,,,,,,,,
Ukraine,0.626,453.61,81.0,27.0,6.0,29.0,41.0,71.0,54.0,36.0
Uzbekistan,0.674,,,,,,,,,
Malaysia,0.738,527.64,72.0,8.0,30.0,66.0,69.0,79.0,55.0,69.0
Mozambique,0.58,,,,,,,,,
Ghana,0.651,,,,,,,,,
Peru,0.717,,,,,,,,,
Saudi Arabia,0.737,524.36,56.0,13.0,30.0,60.0,100.0,100.0,45.0,52.0
Madagascar,0.505,,,,,,,,,
Ivory Coast,0.573,,,,,,,,,
Nepal,0.644,,,,,,,,,
Cameroon,0.466,,,,,,,,,
Venezuela,0.628,,,,,,,,,
Niger,0.442,,,,,,,,,
Australia,0.902,370.1,57.0,7.0,95.0,38.0,17.0,65.0,21.0,7.0
Syria,0.407,,,,,,,,,
Mali,0.481,,,,,,,,,
Burkina Faso,0.481,,,,,,,,,
Taiwan,0.818,,,,,,,,,
Sri Lanka,0.743,,,,,,,,,
Malawi,0.521,,,,,,,,,
Zambia,0.556,,,,,,,,,
Kazakhstan,0.729,,,,,,,,,
Chad,0.462,,,,,,,,,
Chile,0.736,487.96,81.0,11.0,34.0,79.0,39.0,71.0,61.0,20.0
Romania,0.8,,,,,,,,,
Somalia,0.417,,,,,,,,,
Senegal,0.619,,,,,,,,,
Guatemala,0.569,,,,,,,,,
Netherlands,0.908,302.81,32.0,4.0,69.0,56.0,20.0,63.0,8.0,15.0
Ecuador,0.655,,,,,,,,,
Cambodia,0.645,485.73,65.0,6.0,23.0,47.0,30.0,78.0,90.0,75.0
Zimbabwe,0.604,,,,,,,,,
Guinea,0.539,,,,,,,,,
Benin,0.566,,,,,,,,,
Rwanda,0.663,,,,,,,,,
Burundi,0.394,,,,,,,,,
Bolivia,0.696,,,,,,,,,
Tunisia,0.669,468.26,63.0,11.0,26.0,45.0,59.0,84.0,57.0,49.0
South Sudan,0.388,,,,,,,,,
Haiti,0.431,,,,,,,,,
Belgium,0.902,372.88,63.0,16.0,46.0,53.0,26.0,63.0,9.0,20.0
Jordan,0.679,,,,,,,,,
Dominican Republic,0.666,551.32,89.0,35.0,59.0,50.0,28.0,73.0,86.0,7.0
United Arab Emirates,0.868,450.66,51.0,13.0,26.0,30.0,87.0,84.0,44.0,52.0
Honduras,0.61,,,,,,,,,
Czech Republic,0.884,325.33,47.0,7.0,23.0,47.0,30.0,75.0,24.0,20.0
Sweden,0.926,326.42,44.0,7.0,69.0,62.0,22.0,44.0,8.0,20.0
